Angle_deg,Normalized_Gain_dB_Approx
325.7375583,-16.23872952
326.3469172,-15.60924563
326.9250839,-14.97718447
327.3152062,-14.45578276
328.0965854,-13.88865978
328.8861823,-13.02024272
329.4883983,-12.26269848
330.1636577,-11.68312643
331.0469616,-11.16276183
331.4209472,-10.81032369
332.2553378,-10.28072729
333.059979,-9.745129418
333.9428999,-9.083607684
334.5850163,-8.657178362
335.4052299,-7.983749524
336.3647564,-7.621612849
337.1122418,-7.088398348
338.2272198,-6.566946865
339.3281703,-5.968435449
340.2469112,-5.638438542
340.8137171,-5.471455119
341.6247933,-4.982386716
342.2520359,-4.8
343.4855067,-4.298217089
344.7843348,-3.905423031
345.5557009,-3.535808858
347.0270071,-3.030179819
348.1589567,-2.808297244
349.0566177,-2.487666076
349.7576451,-2.318981411
350.8170913,-2.066429861
351.7132511,-1.836838717
352.9736391,-1.718642151
353.9775205,-1.601520727
354.9914665,-1.523339194
355.8017834,-1.425686291
357.0224866,-1.198087339
358.5496146,-1.222888996
359.64109,-1.223888772
360,-1.210955889
