coll_time_round,Date Time(RAW),RSRP_Wo_Round,mean_AvgRsrp,Downtime,Downtime(RAW),Coverage,Coverage(RAW),serial,sensor_distance
3/8/2024 2:00,45359.33333,-81 #,-81,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 3:00,45359.375,-83.9166666666667 #,-83.9167,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 3:00,45359.375,-77.9333333333333 #,-77.9333,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 3:00,45359.375,-81 #,-81,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 3:00,45359.375,-69 #,-69,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 4:00,45359.41667,-81 #,-81,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 4:00,45359.41667,-78 #,-78,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 4:00,45359.41667,-69 #,-69,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 4:00,45359.41667,-84 #,-84,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 5:00,45359.45833,-84.0333333333333 #,-84.0333,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 5:00,45359.45833,-78 #,-78,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 5:00,45359.45833,-69 #,-69,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 5:00,45359.45833,-81 #,-81,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 6:00,45359.5,-84 #,-84,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 6:00,45359.5,-77.9833333333333 #,-77.9833,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 6:00,45359.5,-69 #,-69,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 6:00,45359.5,-81.4 #,-81.4,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 7:00,45359.54167,-84 #,-84,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 7:00,45359.54167,-81.7 #,-81.7,0%,0,100%,10000,SN1001000878869,0.322195995
3/8/2024 7:00,45359.54167,-77.15 #,-77.15,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 7:00,45359.54167,-69 #,-69,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 8:00,45359.58333,-69.1333333333333 #,-69.1333,0%,0,100%,10000,SN1001000878868,0.229262629
3/8/2024 8:00,45359.58333,-84.2833333333333 #,-84.2833,0%,0,100%,10000,SN1001000878866,0.072632366
3/8/2024 8:00,45359.58333,-55 #,-55,0%,0,100%,10000,SN1001000878876,0.148362853
3/8/2024 8:00,45359.58333,-91.6756756756757 #,-91.6757,0%,0,100%,10000,SN1001000878873,0.455980593
3/8/2024 8:00,45359.58333,-88.7297297297297 #,-88.7297,0%,0,100%,10000,SN1001000878874,0.45706528
3/8/2024 8:00,45359.58333,-101.731707317073 #,-101.7317,0%,0,100%,10000,SN1001000878872,0.458002602
3/8/2024 8:00,45359.58333,-79.1818181818182 #,-79.1818,0%,0,100%,10000,SN1001000878856,0.272075868
3/8/2024 8:00,45359.58333,-76.9230769230769 #,-76.9231,0%,0,100%,10000,SN1001000878871,0.394452002
3/8/2024 8:00,45359.58333,-77.8666666666667 #,-77.8667,0%,0,100%,10000,SN1001000878865,0.05685216
3/8/2024 8:00,45359.58333,-79.9411764705882 #,-79.9412,0%,0,100%,10000,SN1001000878875,0.383627261
3/8/2024 8:00,45359.58333,-82 #,-82,0%,0,100%,10000,SN1001000878869,0.322195995
